root_uid	relationmention_id	child_uid	textoffset_startchar	textoffset_endchar	text_string	mediamention_signaltype	mediamention_starttime	mediamention_endtime	keyframe_id	mediamention_coordinates	description	type	subtype	subsubtype	attribute	start_date_type	start_date	end_date_type	end_date
IC001V9U9	RMIC001V9U9.000854	IC001VBJM	975	977	two	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Two drones	measurement	size	count	none	startunk	EMPTY_NA	endunk	EMPTY_NA
IC001V9U9	RMIC001V9U9.000901	IC001VBJM	1491	1494	away	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Apartment building near site of Maduro's speech	physical	locatednear	unspecified	none	startunk	EMPTY_NA	endunk	EMPTY_NA
IC001V9U9	RMIC001V9U9.000948	IC001VBJM	1234	1236	One	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	One drone	measurement	size	count	none	startunk	EMPTY_NA	endunk	EMPTY_NA
IC001V9U9	RMIC001V9U9.000995	IC001VBJM	1390	1392	one	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	One drone	measurement	size	count	none	startunk	EMPTY_NA	endunk	EMPTY_NA
IC001V9U9	RMIC001V9U9.001042	IC001VBJM	1480	1482	two	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Two blocks	measurement	size	count	none	startunk	EMPTY_NA	endunk	EMPTY_NA
IC001V9U9	RMIC001V9U9.001089	IC001VBJM	1534	1541	hundreds	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Hundreds of troops	measurement	size	count	none	startunk	EMPTY_NA	endunk	EMPTY_NA
IC001V9U9	RMIC001V9U9.001136	IC001VBJM	1578	1580	six	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Six terrorists and assassins	measurement	size	count	none	startbefore	2018-08-05	endunk	EMPTY_NA
IC001V9U9	RMIC001V9U9.001805	IC001VBJM	2433	2435	Two	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Two witnesses	measurement	size	count	none	startunk	EMPTY_NA	endunk	EMPTY_NA
IC001V9U9	RMIC001V9U9.001852	IC001VBJM	2517	2520	over	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Drone located near a residential street	physical	locatednear	unspecified	none	starton	2018-08-04	endon	2018-08-04
IC001V9U9	RMIC001V9U9.001899	IC001VBJM	2590	2592	One	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	One witness	measurement	size	count	none	startunk	EMPTY_NA	endunk	EMPTY_NA
IC001V9U9	RMIC001V9U9.001946	IC001VBJM	417	418	in	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Assailants located in Miami	physical	locatednear	unspecified	none	startunk	EMPTY_NA	endunk	EMPTY_NA
IC001V9U9	RMIC001V9U9.001993	IC001VBJM	417	418	in	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Assailants located in Bogota	physical	locatednear	unspecified	none	startunk	EMPTY_NA	endunk	EMPTY_NA
IC001V9U9	RMIC001V9U9.002040	IC001VBJM	1456	1459	into	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Drone located near apartment building	physical	locatednear	unspecified	none	starton	2018-08-04	endunk	EMPTY_NA
IC001V9U9	RMIC001V9U9.002087	IC001VBJM	1833	1841	took part	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	One terrorist or assassin located in Venezuela in 2014	physical	locatednear	unspecified	none	startbefore	2014-xx-xx	endunk	EMPTY_NA
IC001V9U9	RMIC001V9U9.002134	IC001VBJM	2042	2043	on	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	One terrorist or assassin located in military barracks	physical	locatednear	unspecified	none	startunk	EMPTY_NA	endunk	EMPTY_NA
IC001V9U9	RMIC001V9U9.002181	IC001VBJM	2666	2669	into	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Drone located near a building	physical	locatednear	unspecified	none	starton	2018-08-04	endunk	EMPTY_NA
IC001V9U9	RMIC001V9U9.002228	IC001VBJM	2701	2707	fell to	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Drone located on the ground	physical	locatednear	unspecified	none	starton	2018-08-04	endunk	EMPTY_NA
IC001V9U9	RMIC001V9U9.002275	IC001VBJM	2829	2830	to	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Mairum Gonzalez located on balcony	physical	locatednear	unspecified	none	starton	2018-08-04	endunk	EMPTY_NA
IC001V9U9	RMIC001V9U9.002682	IC001VBJM	3531	3539	President	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Juan Manuel Santos is president of Colombia	organizationaffiliation	leadership	headofstate	none	startunk	EMPTY_NA	endunk	EMPTY_NA
IC001V9U9	RMIC001V9U9.002729	IC001VBJM	3752	3760	President	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Donald Trump is president of the U.S.	organizationaffiliation	leadership	headofstate	none	startunk	EMPTY_NA	endunk	EMPTY_NA
IC001V9U9	RMIC001V9U9.002776	IC001VBJM	4106	4115	opposition	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	The Broad Front affiliated with opposition	generalaffiliation	organizationpoliticalreligiousaffiliation	unspecified	none	startunk	EMPTY_NA	endunk	EMPTY_NA
IC001V9U9	RMIC001V9U9.002857	IC001VBJM	4568	4570	two	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Two drones	measurement	size	count	none	startunk	EMPTY_NA	endunk	EMPTY_NA
IC001V9U9	RMIC001V9U9.003886	IC001VBJM	262	264	one	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	One witness	measurement	size	count	none	startunk	EMPTY_NA	endunk	EMPTY_NA
IC001V9U9	RMIC001V9U9.004454	IC001VBJM	4504	4510	claimed	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Soldiers in T-shirts claims responsibility for drone attack	responsibilityblame	claimresponsibility	claimresponsibility	none	startunk	EMPTY_NA	endunk	EMPTY_NA
IC001V9U9	RMIC001V9U9.004501	IC001VBJM	3616	3621	denied	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Juan Manuel Santos denies responsibility for drone attack	responsibilityblame	claimresponsibility	claimresponsibility	not	startunk	EMPTY_NA	endunk	EMPTY_NA
IC001VAPK	RMIC001VAPK.000523	IC001VBFN	427	434	hundreds	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	hundreds of soldiers at the Maduro rally broke rank	measurement	size	count	none	starton	2018-08-04	endon	2018-08-04
IC001VAPK	RMIC001VAPK.000570	IC001VBFN	864	866	six	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	six "terrorists"	measurement	size	count	none	startafter	2018-08-04	endafter	2018-08-04
IC001VAPK	RMIC001VAPK.000617	IC001VBFN	103	111	President	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Venezuelan President Nicolas Maduro	organizationaffiliation	leadership	headofstate	none	startbefore	2018-08-04	endafter	2018-08-04
IC001VAPK	RMIC001VAPK.000638	IC001VBFN	811	816	leader	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Colombian leader Juan Manuel Santos	organizationaffiliation	leadership	headofstate	none	startunk	EMPTY_NA	endunk	EMPTY_NA
IC001VAPK	RMIC001VAPK.000758	IC001VBFN	2303	2307	seven	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	seven of the national guard	measurement	size	count	none	starton	2018-08-04	endon	2018-08-04
IC001VAPK	RMIC001VAPK.000860	IC001VBFN	2309	2310	of	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	seven of the national guard (jobs)	organizationaffiliation	employmentmembership	employment	none	startunk	EMPTY_NA	endunk	EMPTY_NA
IC001VAPK	RMIC001VAPK.000907	IC001VBFN	40	50	involvement	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	The White House has insisted it had no involvement in an apparent assassination attempt on Venezuelan President Nicolas Maduro.	responsibilityblame	claimresponsibility	claimresponsibility	not	startafter	2018-08-04	endafter	2018-08-04
IC001VAPK	RMIC001VAPK.000954	IC001VBFN	673	684	placed blame	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Mr Maduro placed blame for the attack on domestic political opponents	responsibilityblame	assignblame	assignblame	none	starton	2018-08-04	endon	2018-08-04
IC001VAPK	RMIC001VAPK.001001	IC001VBFN	1126	1129	deny	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	John Bolton felt the need to deny any involvement on the part of the White House	responsibilityblame	claimresponsibility	claimresponsibility	not	startafter	2018-08-04	endbefore	2018-08-05
IC001VAPK	RMIC001VAPK.001108	IC001VBFN	2975	2980	formed	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Soldiers in T-shirts - formed by police helicopter pilot and actor Oscar Perez	organizationaffiliation	founder	founder	none	startbefore	2018-08-04	endbefore	2018-08-04
IC001VAPK	RMIC001VAPK.001189	IC001VBFN	3085	3094	government	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	government snipers	organizationaffiliation	employmentmembership	employment	none	startunk	EMPTY_NA	endunk	EMPTY_NA
IC001VAPK	RMIC001VAPK.001236	IC001VBFN	2876	2878	two	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	two drones	measurement	size	count	none	starton	2018-08-04	endon	2018-08-04
IC001VAPK	RMIC001VAPK.001338	IC001VBFN	1089	1095	adviser	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	US national security adviser John Bolton	organizationaffiliation	employmentmembership	employment	none	startunk	EMPTY_NA	endunk	EMPTY_NA
IC001VAPK	RMIC001VAPK.001862	IC001VBFN	839	858	Venezuelan officials	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Venezuelan officials (job)	organizationaffiliation	employmentmembership	employment	none	startunk	EMPTY_NA	endunk	EMPTY_NA
IC001VGO2	RMIC001VGO2.001074	IC001VGWW	88	90	Six	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Six people	measurement	size	count	none	startafter	2018-08-04	endbefore	2018-08-05
IC001VGO2	RMIC001VGO2.001121	IC001VGWW	169	177	President	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Nicolas Maduro is president	organizationaffiliation	leadership	headofstate	none	startunk	EMPTY_NA	endunk	EMPTY_NA
IC001VGO2	RMIC001VGO2.001215	IC001VGWW	423	428	blamed	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Maduro blames Juan Manuel Santos for Drone Attack	responsibilityblame	assignblame	assignblame	none	startafter	2018-08-04	endafter	2018-08-04
IC001VGO2	RMIC001VGO2.001262	IC001VGWW	476	484	president	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Juan Manuel Santos is president of Colombia	organizationaffiliation	leadership	headofstate	none	startunk	EMPTY_NA	endafter	2018-08-04
IC001VGO2	RMIC001VGO2.001309	IC001VGWW	527	533	accused	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Six arrested people blamed for terrorism	responsibilityblame	assignblame	assignblame	none	startbefore	2018-08-05	endunk	EMPTY_NA
IC001VGO2	RMIC001VGO2.001356	IC001VGWW	527	533	accused	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Six arrested people blamed for assassination	responsibilityblame	assignblame	assignblame	none	startbefore	2018-08-05	endunk	EMPTY_NA
IC001VGO2	RMIC001VGO2.001403	IC001VGWW	926	928	two	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Two drones	measurement	size	count	none	startunk	EMPTY_NA	endunk	EMPTY_NA
IC001VGO2	RMIC001VGO2.001628	IC001VGWW	1852	1857	dozens	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Dozens of soldiers	measurement	size	count	none	startunk	EMPTY_NA	endunk	EMPTY_NA
IC001VGO2	RMIC001VGO2.001675	IC001VGWW	1201	1203	One	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	One of the drones	measurement	size	count	none	startunk	EMPTY_NA	endunk	EMPTY_NA
IC001VGO2	RMIC001VGO2.001722	IC001VGWW	1893	1897	Seven	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Seven members of the National Guard	measurement	size	count	none	starton	2018-08-04	endunk	EMPTY_NA
IC001VGO2	RMIC001VGO2.001769	IC001VGWW	2075	2079	three	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Three prosecutors	measurement	size	count	none	startunk	EMPTY_NA	endunk	EMPTY_NA
IC001VGO2	RMIC001VGO2.001863	IC001VGWW	2349	2354	behind	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Venezuelan far right behind drone attack	generalaffiliation	sponsorship	unspecified	none	startbefore	2018-08-04	endunk	EMPTY_NA
IC001VGO2	RMIC001VGO2.001910	IC001VGWW	2349	2354	behind	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Colombian far right behind drone attack	generalaffiliation	sponsorship	unspecified	none	startbefore	2018-08-04	endunk	EMPTY_NA
IC001VGO2	RMIC001VGO2.001957	IC001VGWW	2349	2354	behind	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Juan Manuel Santos behind drone attack	generalaffiliation	sponsorship	unspecified	none	startbefore	2018-08-04	endunk	EMPTY_NA
IC001VGO2	RMIC001VGO2.002004	IC001VGWW	2327	2335	President	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Juan Manuel Santos is president of Colombia	organizationaffiliation	leadership	headofstate	none	startunk	EMPTY_NA	endafter	2018-08-05
IC001VGO2	RMIC001VGO2.002051	IC001VGWW	2227	2230	said	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Maduro blames Venezuelan far right for drone attack	responsibilityblame	assignblame	assignblame	none	starton	2018-08-04	endunk	EMPTY_NA
IC001VGO2	RMIC001VGO2.002098	IC001VGWW	2227	2230	said	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Maduro blames Colombian far right for drone attack	responsibilityblame	assignblame	assignblame	none	starton	2018-08-04	endunk	EMPTY_NA
IC001VGO2	RMIC001VGO2.002145	IC001VGWW	2227	2230	said	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Maduro blames Juan Manuel Santos for drone attack	responsibilityblame	assignblame	assignblame	none	starton	2018-08-04	endunk	EMPTY_NA
IC001VGO2	RMIC001VGO2.002192	IC001VGWW	2376	2381	blamed	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Maduro blames Venezuelans living in US for drone attack	responsibilityblame	assignblame	assignblame	none	starton	2018-08-04	endunk	EMPTY_NA
IC001VGO2	RMIC001VGO2.002239	IC001VGWW	2395	2400	living	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Venezuelans responsible for drone attack live in U.S.	physical	resident	resident	none	startunk	EMPTY_NA	endunk	EMPTY_NA
IC001VGO2	RMIC001VGO2.002286	IC001VGWW	2485	2495	responsible	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Financiers finance drone attack	generalaffiliation	sponsorship	helpsupport	none	startbefore	2018-08-04	endunk	EMPTY_NA
IC001VGO2	RMIC001VGO2.002333	IC001VGWW	2485	2495	responsible	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Planners plan drone attack	generalaffiliation	sponsorship	adviseplanorganize	none	startbefore	2018-08-04	endbefore	2018-08-04
IC001VGO2	RMIC001VGO2.002380	IC001VGWW	2485	2495	responsible	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Residents of Florida finance drone attack	generalaffiliation	sponsorship	helpsupport	none	startbefore	2018-08-04	endunk	EMPTY_NA
IC001VGO2	RMIC001VGO2.002427	IC001VGWW	2485	2495	responsible	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Residents of Florida plan drone attack (1607)	generalaffiliation	sponsorship	adviseplanorganize	none	startbefore	2018-08-04	endbefore	2018-08-04
IC001VGO2	RMIC001VGO2.002474	IC001VGWW	2542	2545	live	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Those responsible for drone attack live in U.S.	physical	resident	resident	none	startunk	EMPTY_NA	endunk	EMPTY_NA
IC001VGO2	RMIC001VGO2.002521	IC001VGWW	2542	2545	live	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Those responsible for drone attack live in Florida	physical	resident	resident	none	startunk	EMPTY_NA	endunk	EMPTY_NA
IC001VGO2	RMIC001VGO2.002568	IC001VGWW	2471	2474	many	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Those responsible are many	measurement	size	count	none	startunk	EMPTY_NA	endunk	EMPTY_NA
IC001VGO2	RMIC001VGO2.002649	IC001VGWW	319	325	several	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Several drones	measurement	size	count	none	startbefore	2018-08-04	endunk	EMPTY_NA
IC001V6F1	RMIC001V6F1.000335	IC001V7EJ	1603	1606	семь	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Seven injured people	measurement	size	count	none	starton	2018-08-04	endon	2018-08-04
IC001V6F1	RMIC001V6F1.000748	IC001V7EJ	3365	3372	десяткам	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Dozens of soldiers	measurement	size	count	none	starton	2018-08-04	endon	2018-08-04
IC001V6F1	RMIC001V6F1.000936	IC001V7EJ	3768	3768	в	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Soldiers are in the central part of the city	physical	locatednear	unspecified	none	startafter	2018-08-04	endafter	2018-08-04
IC001V6F1	RMIC001V6F1.001912	IC001V7EJ	232	235	След	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	USA behind the attack on Maduro	generalaffiliation	sponsorship	affiliated	none	startunk	EMPTY_NA	endunk	EMPTY_NA
IC001V6F1	RMIC001V6F1.002058	IC001V7EJ	2102	2109	обвинить	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Maduro blamed Colombian government for the assassination attempt	responsibilityblame	assignblame	assignblame	none	startafter	2018-08-04	endafter	2018-08-04
IC001V6F1	RMIC001V6F1.002105	IC001V7EJ	2315	2319	стоит	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Juan Manuel Santos is behind the attack on Maduro	generalaffiliation	sponsorship	unspecified	none	startafter	2018-08-04	endafter	2018-08-04
IC001V6F1	RMIC001V6F1.002165	IC001V7EJ	2409	2422	снял обвинения	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Juan Manuel Santos  is not responsible for the attack	responsibilityblame	claimresponsibility	claimresponsibility	not	startafter	2018-08-04	endafter	2018-08-04
IC001V6OI	RMIC001V6OI.000353	IC001V7EX	776	782	обвинил	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Maduro blamed the right-wing forces in the attack	responsibilityblame	assignblame	assignblame	none	starton	2018-08-05	endon	2018-08-05
IC001V6OI	RMIC001V6OI.000400	IC001V7EX	800	808	поддержке	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Right-wing forces supported by the President of Columbia	generalaffiliation	sponsorship	helpsupport	none	startunk	EMPTY_NA	endunk	EMPTY_NA
IC001V6OI	RMIC001V6OI.000447	IC001V7EX	800	808	поддержке	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Right-wing forces supported by the opposition living in Florida,USA	generalaffiliation	sponsorship	helpsupport	none	startunk	EMPTY_NA	endunk	EMPTY_NA
IC001V6OI	RMIC001V6OI.000494	IC001V7EX	810	819	президента	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Juan Manuel Santos is the President of Columbia	organizationaffiliation	leadership	headofstate	none	startunk	EMPTY_NA	endunk	EMPTY_NA
IC001V6OI	RMIC001V6OI.000541	IC001V7EX	624	640	семеро гвардейцев	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	7 National guards got injured	measurement	size	count	none	starton	2018-08-05	endon	2018-08-05
IC001V6OI	RMIC001V6OI.000635	IC001V7EX	958	969	причастность	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Columbia rejects accusations of connection to the assassination	responsibilityblame	claimresponsibility	claimresponsibility	not	startafter	2018-08-05	endunk	EMPTY_NA
IC001V6OI	RMIC001V6OI.001425	IC001V7EX	1126	1129	семь	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	7 people	measurement	size	count	none	starton	2018-08-04	endon	2018-08-04
IC001V76J	RMIC001V76J.000084	IC001V7D3	47	66	президента Венесуэлы	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Maduro is a president of Venezuela	organizationaffiliation	leadership	headofstate	none	startunk	EMPTY_NA	endunk	EMPTY_NA
IC001V76J	RMIC001V76J.000212	IC001V7D3	365	370	семеро	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Seven employees of the National Guard	measurement	size	count	none	starton	2018-08-04	endon	2018-08-04
IC001V76J	RMIC001V76J.000327	IC001V7D3	425	442	руководства страны	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Venezuelan government is affiliated with Venezuela	generalaffiliation	organizationpoliticalreligiousaffiliation	nationalitycitizen	none	startunk	EMPTY_NA	endunk	EMPTY_NA
IC001V76J	RMIC001V76J.000374	IC001V7D3	372	393	сотрудников нацгвардии	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Seven employees of the National Guard are affiliated with National Guard	organizationaffiliation	employmentmembership	employment	none	startunk	EMPTY_NA	endunk	EMPTY_NA
